# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2021-09-28 21:33:38 EDT       (caww01)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 01073500 LAMPREY RIVER NEAR NEWMARKET, NH
# -----------------------------------------------------------------------------------
#
# Data provided for site 01073500
#            TS   parameter     statistic     Description
#         63999       00060     00003     Discharge, cubic feet per second (Mean)
#
# Data-value qualification codes included in this output:
#     A  Approved for publication -- Processing and review completed.
#     P  Provisional data subject to revision.
#     e  Value has been estimated.
# 
agency_cd	site_no	datetime	63999_00060_00003	63999_00060_00003_cd
USGS	01073500	1934-11-20	184	A
USGS	01073500	1934-11-21	177	A
USGS	01073500	1934-11-22	172	A
USGS	01073500	1934-11-23	169	A
USGS	01073500	1934-11-24	167	A
USGS	01073500	1934-11-25	162	A
USGS	01073500	1934-11-26	156	A
USGS	01073500	1934-11-27	151	A
USGS	01073500	1934-11-28	150	A
USGS	01073500	1934-11-29	145	A
USGS	01073500	1934-11-30	153	A
USGS	01073500	1934-12-01	236	A
USGS	01073500	1934-12-02	345	A
USGS	01073500	1934-12-03	398	A
USGS	01073500	1934-12-04	439	A
USGS	01073500	1934-12-05	398	A
USGS	01073500	1934-12-06	345	A
USGS	01073500	1934-12-07	320	A
USGS	01073500	1934-12-08	260	A
USGS	01073500	1934-12-09	200	A
USGS	01073500	1934-12-10	180	A
USGS	01073500	1934-12-11	160	A
USGS	01073500	1934-12-12	130	A
USGS	01073500	1934-12-13	110	A
USGS	01073500	1934-12-14	83.0	A
USGS	01073500	1934-12-15	78.0	A
USGS	01073500	1934-12-16	74.0	A
USGS	01073500	1934-12-17	75.0	A
USGS	01073500	1934-12-18	72.0	A
USGS	01073500	1934-12-19	84.0	A
USGS	01073500	1934-12-20	323	A
USGS	01073500	1934-12-21	332	A
USGS	01073500	1934-12-22	412	A
USGS	01073500	1934-12-23	332	A
USGS	01073500	1934-12-24	264	A
USGS	01073500	1934-12-25	215	A
USGS	01073500	1934-12-26	216	A
USGS	01073500	1934-12-27	216	A
USGS	01073500	1934-12-28	186	A
USGS	01073500	1934-12-29	211	A
USGS	01073500	1934-12-30	189	A
USGS	01073500	1934-12-31	161	A
USGS	01073500	1935-01-01	142	A
USGS	01073500	1935-01-02	134	A
USGS	01073500	1935-01-03	132	A
USGS	01073500	1935-01-04	130	A
USGS	01073500	1935-01-05	130	A
USGS	01073500	1935-01-06	133	A
USGS	01073500	1935-01-07	156	A
USGS	01073500	1935-01-08	255	A
USGS	01073500	1935-01-09	607	A
USGS	01073500	1935-01-10	1420	A
USGS	01073500	1935-01-11	1780	A
USGS	01073500	1935-01-12	1730	A
USGS	01073500	1935-01-13	1220	A
USGS	01073500	1935-01-14	670	A
USGS	01073500	1935-01-15	426	A
USGS	01073500	1935-01-16	332	A
USGS	01073500	1935-01-17	297	A
USGS	01073500	1935-01-18	275	A
USGS	01073500	1935-01-19	258	A
USGS	01073500	1935-01-20	254	A
USGS	01073500	1935-01-21	250	A
USGS	01073500	1935-01-22	256	A
USGS	01073500	1935-01-23	247	A
USGS	01073500	1935-01-24	218	A
USGS	01073500	1935-01-25	202	A
USGS	01073500	1935-01-26	215	A
USGS	01073500	1935-01-27	222	A
USGS	01073500	1935-01-28	218	A
USGS	01073500	1935-01-29	218	A
USGS	01073500	1935-01-30	209	A
USGS	01073500	1935-01-31	198	A
USGS	01073500	1935-02-01	198	A
USGS	01073500	1935-02-02	202	A
USGS	01073500	1935-02-03	202	A
USGS	01073500	1935-02-04	197	A
USGS	01073500	1935-02-05	188	A
USGS	01073500	1935-02-06	186	A
USGS	01073500	1935-02-07	186	A
USGS	01073500	1935-02-08	181	A
USGS	01073500	1935-02-09	184	A
USGS	01073500	1935-02-10	177	A
USGS	01073500	1935-02-11	172	A
USGS	01073500	1935-02-12	174	A
USGS	01073500	1935-02-13	174	A
USGS	01073500	1935-02-14	170	A
USGS	01073500	1935-02-15	259	A
USGS	01073500	1935-02-16	332	A
USGS	01073500	1935-02-17	358	A
USGS	01073500	1935-02-18	372	A
USGS	01073500	1935-02-19	372	A
USGS	01073500	1935-02-20	385	A
USGS	01073500	1935-02-21	372	A
USGS	01073500	1935-02-22	345	A
USGS	01073500	1935-02-23	312	A
USGS	01073500	1935-02-24	287	A
USGS	01073500	1935-02-25	273	A
USGS	01073500	1935-02-26	322	A
USGS	01073500	1935-02-27	385	A
USGS	01073500	1935-02-28	385	A
USGS	01073500	1935-03-01	385	A
USGS	01073500	1935-03-02	398	A
USGS	01073500	1935-03-03	398	A
USGS	01073500	1935-03-04	385	A
USGS	01073500	1935-03-05	372	A
USGS	01073500	1935-03-06	372	A
USGS	01073500	1935-03-07	454	A
USGS	01073500	1935-03-08	482	A
USGS	01073500	1935-03-09	482	A
USGS	01073500	1935-03-10	482	A
USGS	01073500	1935-03-11	468	A
USGS	01073500	1935-03-12	543	A
USGS	01073500	1935-03-13	659	A
USGS	01073500	1935-03-14	712	A
USGS	01073500	1935-03-15	746	A
USGS	01073500	1935-03-16	729	A
USGS	01073500	1935-03-17	979	A
USGS	01073500	1935-03-18	1260	A
USGS	01073500	1935-03-19	1300	A
USGS	01073500	1935-03-20	1380	A
USGS	01073500	1935-03-21	1340	A
USGS	01073500	1935-03-22	1220	A
USGS	01073500	1935-03-23	1220	A
USGS	01073500	1935-03-24	1140	A
USGS	01073500	1935-03-25	1060	A
USGS	01073500	1935-03-26	983	A
USGS	01073500	1935-03-27	872	A
USGS	01073500	1935-03-28	799	A
USGS	01073500	1935-03-29	1030	A
USGS	01073500	1935-03-30	1100	A
USGS	01073500	1935-03-31	1140	A
USGS	01073500	1935-04-01	996	A
USGS	01073500	1935-04-02	872	A
USGS	01073500	1935-04-03	782	A
USGS	01073500	1935-04-04	694	A
USGS	01073500	1935-04-05	625	A
USGS	01073500	1935-04-06	592	A
USGS	01073500	1935-04-07	527	A
USGS	01073500	1935-04-08	512	A
USGS	01073500	1935-04-09	482	A
USGS	01073500	1935-04-10	712	A
USGS	01073500	1935-04-11	817	A
USGS	01073500	1935-04-12	835	A
USGS	01073500	1935-04-13	1010	A
USGS	01073500	1935-04-14	1180	A
USGS	01073500	1935-04-15	1180	A
USGS	01073500	1935-04-16	1120	A
USGS	01073500	1935-04-17	872	A
USGS	01073500	1935-04-18	712	A
USGS	01073500	1935-04-19	592	A
USGS	01073500	1935-04-20	527	A
USGS	01073500	1935-04-21	468	A
USGS	01073500	1935-04-22	439	A
USGS	01073500	1935-04-23	412	A
USGS	01073500	1935-04-24	385	A
USGS	01073500	1935-04-25	398	A
USGS	01073500	1935-04-26	345	A
USGS	01073500	1935-04-27	302	A
USGS	01073500	1935-04-28	269	A
USGS	01073500	1935-04-29	239	A
USGS	01073500	1935-04-30	247	A
USGS	01073500	1935-05-01	280	A
USGS	01073500	1935-05-02	275	A
USGS	01073500	1935-05-03	260	A
USGS	01073500	1935-05-04	230	A
USGS	01073500	1935-05-05	209	A
USGS	01073500	1935-05-06	211	A
USGS	01073500	1935-05-07	245	A
USGS	01073500	1935-05-08	412	A
USGS	01073500	1935-05-09	385	A
USGS	01073500	1935-05-10	385	A
USGS	01073500	1935-05-11	345	A
USGS	01073500	1935-05-12	297	A
USGS	01073500	1935-05-13	264	A
USGS	01073500	1935-05-14	256	A
USGS	01073500	1935-05-15	250	A
USGS	01073500	1935-05-16	226	A
USGS	01073500	1935-05-17	240	A
USGS	01073500	1935-05-18	117	A
USGS	01073500	1935-05-19	199	A
USGS	01073500	1935-05-20	139	A
USGS	01073500	1935-05-21	80.0	A
USGS	01073500	1935-05-22	124	A
USGS	01073500	1935-05-23	118	A
USGS	01073500	1935-05-24	110	A
USGS	01073500	1935-05-25	103	A
USGS	01073500	1935-05-26	94.0	A
USGS	01073500	1935-05-27	88.0	A
USGS	01073500	1935-05-28	93.0	A
USGS	01073500	1935-05-29	113	A
USGS	01073500	1935-05-30	107	A
USGS	01073500	1935-05-31	103	A
USGS	01073500	1935-06-01	104	A
USGS	01073500	1935-06-02	104	A
USGS	01073500	1935-06-03	99.0	A
USGS	01073500	1935-06-04	94.0	A
USGS	01073500	1935-06-05	146	A
USGS	01073500	1935-06-06	193	A
USGS	01073500	1935-06-07	193	A
USGS	01073500	1935-06-08	188	A
USGS	01073500	1935-06-09	226	A
USGS	01073500	1935-06-10	398	A
USGS	01073500	1935-06-11	497	A
USGS	01073500	1935-06-12	426	A
USGS	01073500	1935-06-13	300	A
USGS	01073500	1935-06-14	213	A
USGS	01073500	1935-06-15	156	A
USGS	01073500	1935-06-16	124	A
USGS	01073500	1935-06-17	115	A
USGS	01073500	1935-06-18	346	A
USGS	01073500	1935-06-19	426	A
USGS	01073500	1935-06-20	782	A
USGS	01073500	1935-06-21	729	A
USGS	01073500	1935-06-22	659	A
USGS	01073500	1935-06-23	576	A
USGS	01073500	1935-06-24	454	A
USGS	01073500	1935-06-25	372	A
USGS	01073500	1935-06-26	324	A
USGS	01073500	1935-06-27	282	A
USGS	01073500	1935-06-28	258	A
USGS	01073500	1935-06-29	230	A
USGS	01073500	1935-06-30	202	A
USGS	01073500	1935-07-01	176	A
USGS	01073500	1935-07-02	154	A
USGS	01073500	1935-07-03	139	A
USGS	01073500	1935-07-04	127	A
USGS	01073500	1935-07-05	118	A
USGS	01073500	1935-07-06	103	A
USGS	01073500	1935-07-07	123	A
USGS	01073500	1935-07-08	161	A
USGS	01073500	1935-07-09	170	A
USGS	01073500	1935-07-10	211	A
USGS	01073500	1935-07-11	207	A
USGS	01073500	1935-07-12	186	A
USGS	01073500	1935-07-13	162	A
USGS	01073500	1935-07-14	140	A
USGS	01073500	1935-07-15	124	A
USGS	01073500	1935-07-16	114	A
USGS	01073500	1935-07-17	104	A
USGS	01073500	1935-07-18	92.0	A
USGS	01073500	1935-07-19	90.0	A
USGS	01073500	1935-07-20	97.0	A
USGS	01073500	1935-07-21	94.0	A
USGS	01073500	1935-07-22	84.0	A
USGS	01073500	1935-07-23	74.0	A
USGS	01073500	1935-07-24	76.0	A
USGS	01073500	1935-07-25	74.0	A
USGS	01073500	1935-07-26	69.0	A
USGS	01073500	1935-07-27	65.0	A
USGS	01073500	1935-07-28	62.0	A
USGS	01073500	1935-07-29	66.0	A
USGS	01073500	1935-07-30	72.0	A
USGS	01073500	1935-07-31	93.0	A
USGS	01073500	1935-08-01	94.0	A
USGS	01073500	1935-08-02	90.0	A
USGS	01073500	1935-08-03	86.0	A
USGS	01073500	1935-08-04	83.0	A
USGS	01073500	1935-08-05	93.0	A
USGS	01073500	1935-08-06	97.0	A
USGS	01073500	1935-08-07	93.0	A
USGS	01073500	1935-08-08	86.0	A
USGS	01073500	1935-08-09	79.0	A
USGS	01073500	1935-08-10	76.0	A
USGS	01073500	1935-08-11	84.0	A
USGS	01073500	1935-08-12	85.0	A
USGS	01073500	1935-08-13	83.0	A
USGS	01073500	1935-08-14	81.0	A
USGS	01073500	1935-08-15	80.0	A
USGS	01073500	1935-08-16	78.0	A
USGS	01073500	1935-08-17	75.0	A
USGS	01073500	1935-08-18	73.0	A
USGS	01073500	1935-08-19	75.0	A
USGS	01073500	1935-08-20	78.0	A
USGS	01073500	1935-08-21	78.0	A
USGS	01073500	1935-08-22	79.0	A
USGS	01073500	1935-08-23	80.0	A
USGS	01073500	1935-08-24	75.0	A
USGS	01073500	1935-08-25	72.0	A
USGS	01073500	1935-08-26	70.0	A
USGS	01073500	1935-08-27	70.0	A
USGS	01073500	1935-08-28	68.0	A
USGS	01073500	1935-08-29	65.0	A
USGS	01073500	1935-08-30	66.0	A
USGS	01073500	1935-08-31	70.0	A
USGS	01073500	1935-09-01	70.0	A
USGS	01073500	1935-09-02	70.0	A
USGS	01073500	1935-09-03	67.0	A
USGS	01073500	1935-09-04	74.0	A
USGS	01073500	1935-09-05	126	A
USGS	01073500	1935-09-06	114	A
USGS	01073500	1935-09-07	99.0	A
USGS	01073500	1935-09-08	81.0	A
USGS	01073500	1935-09-09	79.0	A
USGS	01073500	1935-09-10	113	A
USGS	01073500	1935-09-11	106	A
USGS	01073500	1935-09-12	83.0	A
USGS	01073500	1935-09-13	69.0	A
USGS	01073500	1935-09-14	57.0	A
USGS	01073500	1935-09-15	56.0	A
USGS	01073500	1935-09-16	56.0	A
USGS	01073500	1935-09-17	50.0	A
USGS	01073500	1935-09-18	59.0	A
USGS	01073500	1935-09-19	65.0	A
USGS	01073500	1935-09-20	56.0	A
USGS	01073500	1935-09-21	41.0	A
USGS	01073500	1935-09-22	32.0	A
USGS	01073500	1935-09-23	29.0	A
USGS	01073500	1935-09-24	25.0	A
USGS	01073500	1935-09-25	22.0	A
USGS	01073500	1935-09-26	20.0	A
USGS	01073500	1935-09-27	23.0	A
USGS	01073500	1935-09-28	23.0	A
USGS	01073500	1935-09-29	28.0	A
USGS	01073500	1935-09-30	29.0	A
USGS	01073500	1935-10-01	25.0	A
USGS	01073500	1935-10-02	23.0	A
USGS	01073500	1935-10-03	24.0	A
USGS	01073500	1935-10-04	25.0	A
USGS	01073500	1935-10-05	20.0	A
USGS	01073500	1935-10-06	19.0	A
USGS	01073500	1935-10-07	20.0	A
USGS	01073500	1935-10-08	21.0	A
USGS	01073500	1935-10-09	14.0	A
USGS	01073500	1935-10-10	15.0	A
USGS	01073500	1935-10-11	19.0	A
USGS	01073500	1935-10-12	16.0	A
USGS	01073500	1935-10-13	13.0	A
USGS	01073500	1935-10-14	13.0	A
USGS	01073500	1935-10-15	64.0	A
USGS	01073500	1935-10-16	18.0	A
USGS	01073500	1935-10-17	3.00	A
USGS	01073500	1935-10-18	4.00	A
USGS	01073500	1935-10-19	4.00	A
USGS	01073500	1935-10-20	2.00	A
USGS	01073500	1935-10-21	1.00	A
USGS	01073500	1935-10-22	2.00	A
USGS	01073500	1935-10-23	17.0	A
USGS	01073500	1935-10-24	27.0	A
USGS	01073500	1935-10-25	24.0	A
USGS	01073500	1935-10-26	27.0	A
USGS	01073500	1935-10-27	25.0	A
USGS	01073500	1935-10-28	20.0	A
USGS	01073500	1935-10-29	17.0	A
USGS	01073500	1935-10-30	23.0	A
USGS	01073500	1935-10-31	22.0	A
USGS	01073500	1935-11-01	18.0	A
USGS	01073500	1935-11-02	31.0	A
USGS	01073500	1935-11-03	38.0	A
USGS	01073500	1935-11-04	38.0	A
USGS	01073500	1935-11-05	53.0	A
USGS	01073500	1935-11-06	46.0	A
USGS	01073500	1935-11-07	44.0	A
USGS	01073500	1935-11-08	44.0	A
USGS	01073500	1935-11-09	38.0	A
USGS	01073500	1935-11-10	38.0	A
USGS	01073500	1935-11-11	40.0	A
USGS	01073500	1935-11-12	49.0	A
USGS	01073500	1935-11-13	50.0	A
USGS	01073500	1935-11-14	59.0	A
USGS	01073500	1935-11-15	60.0	A
USGS	01073500	1935-11-16	59.0	A
USGS	01073500	1935-11-17	58.0	A
USGS	01073500	1935-11-18	64.0	A
USGS	01073500	1935-11-19	74.0	A
USGS	01073500	1935-11-20	78.0	A
USGS	01073500	1935-11-21	83.0	A
USGS	01073500	1935-11-22	90.0	A
USGS	01073500	1935-11-23	98.0	A
USGS	01073500	1935-11-24	101	A
USGS	01073500	1935-11-25	91.0	A
USGS	01073500	1935-11-26	83.0	A
USGS	01073500	1935-11-27	74.0	A
USGS	01073500	1935-11-28	77.0	A
USGS	01073500	1935-11-29	260	A
USGS	01073500	1935-11-30	295	A
USGS	01073500	1935-12-01	323	A
USGS	01073500	1935-12-02	283	A
USGS	01073500	1935-12-03	226	A
USGS	01073500	1935-12-04	158	A
USGS	01073500	1935-12-05	120	A
USGS	01073500	1935-12-06	104	A
USGS	01073500	1935-12-07	90.0	A
USGS	01073500	1935-12-08	90.0	A
USGS	01073500	1935-12-09	94.0	A
USGS	01073500	1935-12-10	129	A
USGS	01073500	1935-12-11	153	A
USGS	01073500	1935-12-12	169	A
USGS	01073500	1935-12-13	147	A
USGS	01073500	1935-12-14	140	A
USGS	01073500	1935-12-15	126	A
USGS	01073500	1935-12-16	188	A
USGS	01073500	1935-12-17	214	A
USGS	01073500	1935-12-18	174	A
USGS	01073500	1935-12-19	181	A
USGS	01073500	1935-12-20	158	A
USGS	01073500	1935-12-21	113	A
USGS	01073500	1935-12-22	79.0	A
USGS	01073500	1935-12-23	80.0	A
USGS	01073500	1935-12-24	79.0	A
USGS	01073500	1935-12-25	67.0	A
USGS	01073500	1935-12-26	49.0	A
USGS	01073500	1935-12-27	44.0	A
USGS	01073500	1935-12-28	40.0	A
USGS	01073500	1935-12-29	36.0	A
USGS	01073500	1935-12-30	35.0	A
USGS	01073500	1935-12-31	35.0	A
USGS	01073500	1936-01-01	33.0	A
USGS	01073500	1936-01-02	30.0	A
USGS	01073500	1936-01-03	157	A
USGS	01073500	1936-01-04	368	A
USGS	01073500	1936-01-05	396	A
USGS	01073500	1936-01-06	462	A
USGS	01073500	1936-01-07	410	A
USGS	01073500	1936-01-08	325	A
USGS	01073500	1936-01-09	278	A
USGS	01073500	1936-01-10	375	A
USGS	01073500	1936-01-11	396	A
USGS	01073500	1936-01-12	368	A
USGS	01073500	1936-01-13	341	A
USGS	01073500	1936-01-14	318	A
USGS	01073500	1936-01-15	340	A
USGS	01073500	1936-01-16	1330	A
USGS	01073500	1936-01-17	1070	A
USGS	01073500	1936-01-18	910	A
USGS	01073500	1936-01-19	646	A
USGS	01073500	1936-01-20	383	A
USGS	01073500	1936-01-21	305	A
USGS	01073500	1936-01-22	295	A
USGS	01073500	1936-01-23	298	A
USGS	01073500	1936-01-24	267	A
USGS	01073500	1936-01-25	245	A
USGS	01073500	1936-01-26	230	A
USGS	01073500	1936-01-27	215	A
USGS	01073500	1936-01-28	195	A
USGS	01073500	1936-01-29	180	A
USGS	01073500	1936-01-30	170	A
USGS	01073500	1936-01-31	160	A
USGS	01073500	1936-02-01	150	A
USGS	01073500	1936-02-02	140	A
USGS	01073500	1936-02-03	135	A
USGS	01073500	1936-02-04	135	A
USGS	01073500	1936-02-05	130	A
USGS	01073500	1936-02-06	125	A
USGS	01073500	1936-02-07	135	A
USGS	01073500	1936-02-08	160	A
USGS	01073500	1936-02-09	185	A
USGS	01073500	1936-02-10	190	A
USGS	01073500	1936-02-11	175	A
USGS	01073500	1936-02-12	165	A
USGS	01073500	1936-02-13	180	A
USGS	01073500	1936-02-14	190	A
USGS	01073500	1936-02-15	208	A
USGS	01073500	1936-02-16	245	A
USGS	01073500	1936-02-17	320	A
USGS	01073500	1936-02-18	382	A
USGS	01073500	1936-02-19	368	A
USGS	01073500	1936-02-20	368	A
USGS	01073500	1936-02-21	368	A
USGS	01073500	1936-02-22	368	A
USGS	01073500	1936-02-23	341	A
USGS	01073500	1936-02-24	320	A
USGS	01073500	1936-02-25	305	A
USGS	01073500	1936-02-26	285	A
USGS	01073500	1936-02-27	276	A
USGS	01073500	1936-02-28	276	A
USGS	01073500	1936-02-29	267	A
USGS	01073500	1936-03-01	258	A
USGS	01073500	1936-03-02	239	A
USGS	01073500	1936-03-03	239	A
USGS	01073500	1936-03-04	232	A
USGS	01073500	1936-03-05	239	A
USGS	01073500	1936-03-06	241	A
USGS	01073500	1936-03-07	230	A
USGS	01073500	1936-03-08	224	A
USGS	01073500	1936-03-09	234	A
USGS	01073500	1936-03-10	283	A
USGS	01073500	1936-03-11	376	A
USGS	01073500	1936-03-12	1640	A
USGS	01073500	1936-03-13	2770	A
USGS	01073500	1936-03-14	3500	A
USGS	01073500	1936-03-15	3540	A
USGS	01073500	1936-03-16	2760	A
USGS	01073500	1936-03-17	2410	A
USGS	01073500	1936-03-18	2790	A
USGS	01073500	1936-03-19	4250	A
USGS	01073500	1936-03-20	5270	A
USGS	01073500	1936-03-21	4690	A
USGS	01073500	1936-03-22	4060	A
USGS	01073500	1936-03-23	3810	A
USGS	01073500	1936-03-24	3090	A
USGS	01073500	1936-03-25	2140	A
USGS	01073500	1936-03-26	1610	A
USGS	01073500	1936-03-27	1390	A
USGS	01073500	1936-03-28	1530	A
USGS	01073500	1936-03-29	1450	A
USGS	01073500	1936-03-30	1290	A
USGS	01073500	1936-03-31	1050	A
USGS	01073500	1936-04-01	830	A
USGS	01073500	1936-04-02	764	A
USGS	01073500	1936-04-03	1010	A
USGS	01073500	1936-04-04	1090	A
USGS	01073500	1936-04-05	1050	A
USGS	01073500	1936-04-06	1120	A
USGS	01073500	1936-04-07	1250	A
USGS	01073500	1936-04-08	1290	A
USGS	01073500	1936-04-09	1170	A
USGS	01073500	1936-04-10	950	A
USGS	01073500	1936-04-11	870	A
USGS	01073500	1936-04-12	950	A
USGS	01073500	1936-04-13	890	A
USGS	01073500	1936-04-14	770	A
USGS	01073500	1936-04-15	684	A
USGS	01073500	1936-04-16	652	A
USGS	01073500	1936-04-17	636	A
USGS	01073500	1936-04-18	605	A
USGS	01073500	1936-04-19	544	A
USGS	01073500	1936-04-20	499	A
USGS	01073500	1936-04-21	469	A
USGS	01073500	1936-04-22	454	A
USGS	01073500	1936-04-23	425	A
USGS	01073500	1936-04-24	382	A
USGS	01073500	1936-04-25	336	A
USGS	01073500	1936-04-26	310	A
USGS	01073500	1936-04-27	290	A
USGS	01073500	1936-04-28	274	A
USGS	01073500	1936-04-29	267	A
USGS	01073500	1936-04-30	269	A
USGS	01073500	1936-05-01	265	A
USGS	01073500	1936-05-02	263	A
USGS	01073500	1936-05-03	256	A
USGS	01073500	1936-05-04	330	A
USGS	01073500	1936-05-05	355	A
USGS	01073500	1936-05-06	330	A
USGS	01073500	1936-05-07	294	A
USGS	01073500	1936-05-08	263	A
USGS	01073500	1936-05-09	238	A
